UMGS_ID	MAG_ID	Phylum	Class	Order	Family	Genus
UMGS1114	ERR321497_bin.20	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
UMGS1115	SRR3992981_bin.40	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1116	SRR1761668_bin.9	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1117	SRR5127624_bin.20	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS1118	SRR341650_bin.4	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
UMGS1119	ERR1018308_bin.41	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnobacterium
UMGS1120	SRR1929574_bin.19	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
UMGS1121	ERR1190974_bin.22	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Olsenella
UMGS1122	SRR2992884_bin.53	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1123	ERR525706_bin.22	NA	NA	NA	NA	NA
UMGS1124	SRR1761699_bin.62	Tenericutes	NA	NA	NA	NA
UMGS1125	SRR1915995_bin.6	NA	NA	NA	NA	NA
UMGS1126	ERR414269_bin.20	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
